Model,Accuracy,F1 (macro),F1 (weighted),ROC-AUC,Log Loss,Precision (mac),Recall (mac)
Logistic Regression,0.8674698795180723,0.8407465550322692,0.8729717404416201,0.9715821812596006,0.2960587614848815,0.8211038961038961,0.8798003072196621
Random Forest,0.9036144578313253,0.8682539682539683,0.9019697838974947,0.9807987711213517,0.16661227149787852,0.8819901315789473,0.8567588325652842
XGBoost,0.963855421686747,0.9529211571185479,0.964128778300952,0.988479262672811,0.12844273877974485,0.9463487332339791,0.9600614439324117
