ein,name,total_fees,num_clients
232329854,THE HAVERFORD TRUST COMPANY,7684.0,1
232384840,WELLS FARGO CLEARING SERVICES LLC,0.0,1
232385085,MCCONKEY BENEFITS & FINANCIAL SERVI,72775.0,3
232399040,COMMONWEALTH BENEFITS GROUP,176921.0,9
232413864,FIDUCIARY TRUST INTERNATIONAL,24681.0,1
232415973,HERBEIN & CO INC,32000.0,1
232504308,SIGNIFICA BENEFIT SERVICES,204385.0,1
232748550,VALLEY FORGE INVESTMENT CONSULTANTS,0.0,1
232962885,"WEBB INSURANCE, INC.",575.0,1
233037647,FULTON FINANCIAL ADVISORS,24206.0,1
233086396,"E. K. MCCONKEY & CO., INC.",74420.0,5
237384555,BLUE CROSS BLUE SHIELD OF LA,26636.0,1
251031405,MCGILL POWER BELL ASSOCIATES LLP,12500.0,1
251301205,LR WEBBER,30594.0,1
251409618,MID ATLANTIC CAPITAL CORPORATION,0.0,1
251784573,PCI (PA CHAMBER INSURANCE),19371.0,2
251784573,PCI INSURANCE AGENCY,43266.0,4
251912027,CULPEPPER DEVEREAUX,29492.0,1
260058143,"CAPFINANCIAL PARTNERS, LLC",8155.0,1
260058143,CAPTRUST FINANCIAL ADVISORS,25526.0,1
261370698,HORIZON ACTUARIAL SERVICES LLC,113050.0,1
261768616,CONNECTCARE 3,13433.0,6
261768616,CONNECTCARE3,51271.0,14
261768616,"CONNECTCARE3, LLC",13576.0,2
261769761,"MEDONE, LC",20348.0,1
261870141,BEVCAP HEALTH CAPTIVE - NC,12542.0,1
261870141,"BEVCAP MANAGEMENT, LLC",34496.0,1
262824668,"WESPAC PLAN SERVICES, LLC",97500.0,1
262824865,"WESPAC ADVISORS, LLC",0.0,1
263554645,ACRISURE LLC (HEAD CAPITAL ADVISORS,34790.0,1
264310632,MORGAN STANLEY SMITH BARNEY,0.0,1
264311657,LEAFHOUSE FINANCIAL ADVISORS LLC,301369.0,2
270367008,"KEYSTONE INSURERS GROUP, INC.",73024.0,1
270711617,"AZALEA ADMINISTRATION, LLC",1537.0,1
271207016,CORNERSTONE RETIREMENT PLAN ADMIN,1450.0,1
271502067,BLUE BENEFIT ADMINISTRATORS OF MASS,23433.0,2
271746834,"PLEXUS FINANCIAL SERVICES, LLC",10000.0,1
272037969,"NEWPORT GROUP, INC.",53113.0,2
272436452,AON HEWITT INVESTMENT CONSULTANTS,71888.0,1
273188744,SOLTIS INVESTMENT ADVISORS,97655.0,5
273463867,PCM RX MANAGEMENT,20138.0,1
273464475,GURUPRASAD SRIHARI,7500.0,1
273959113,HEALTH SAGE CONSULTING INC,48000.0,4
274411131,"NEWPORT GROUP, INC.",55103.0,1
274666060,"AMPIAN HR OUTSOURCING, LLC",6123.0,1
300041952,HRC TOTAL SOLUTIONS TAX,493979.0,2
300447847,DIMENSIONAL FUND ADVISORS LP,0.0,1
300837157,"AP BENEFIT ADVISORS, LLC",3094.0,1
301413443,BAKER TILLY,82091.0,1
30327374,MCSOLEY MCCOY & CO.,9101.0,1
310841368,U.S. BANK NATIONAL ASSOCIATION,114261.0,1
311191330,"MCGOHAN BRABENDER, INC.",7615.0,1
311360674,PENSION CORPORATION OF AMERICA,7555.0,1
311368946,"AMERICAN HEALTH HOLDING, INC.",74095.0,1
311418743,REFLECT HEALTH / CIGNA,7815.0,1
311440043,"EVERHART FINANCIAL GROUP, INC",22301.0,1
311582098,CBIZ BENEFITS & INSURANCE SERVICES,31573.0,1
311592130,NATIONWIDE,22810.0,1
314156830,NATIONWIDE,7928.0,2
314156830,NATIONWIDE INSURANCE,12058.0,1
314156830,NATIONWIDE LIFE INSURANCE COMPANY,58828.0,1
314177100,NATIONWIDE,1053.0,1
330818667,SAGEVIEW ADVISORY GROUP LLC,62500.0,1
330883241,ACTIVE & FIT-AMERICAN SPECIALTY HEA,0.0,1
331028341,"PATRIOT (POWER-KUNKLE GROUP, INC.)",13685.0,1
331077887,PGIM QUANTITATIVE SOLUTIONS LLC,58143.0,1
334144829,COHNREZNICK LLP,23362.0,1
334144829,COHNREZNUICK,9700.0,1
336134835,PENCHECKS TRUST COMPANY OF AMERICA,14275.0,1
340445620,JAMES B OSWALD COMPANY,29395.0,1
340648820,MMO,39069.0,1
341213174,USI CONSULTING GROUP,9450.0,1
341337680,NORTHWESTERN OHIO ADMINISTRATORS IN,14889.0,1
341479833,SCHWAB RETIREMENT PLAN SERVICES,59150.0,1
341479833,"SCHWAB RETIREMENT PLAN SERVICES,INC",387954.0,1
341542819,WELLS FARGO ADVISORS FINANCIAL NETW,0.0,1
341542819,"WELLS FARGO CLEARING SERVICES, LLC",0.0,1
341542819,WELLS FARGO CLEARING SVCS (WF ADVS),43169.0,3
341597728,"CLEARSTEAD ADVISORS,LLC",6180.0,1
341820650,"QDRO CONSULTANTS COMPANY, LLC",1800.0,1
342472558,SPC,26697.0,1
344439491,SHUMAKER LOOP & KENDRICK LLP,12556.0,1
346565596,ERNST AND YOUNG US LLP,67704.0,2
350145825,AMERICAN UNITED LIFE INS CO,0.0,3
350145825,AMERICAN UNITED LIFE INSURANCE CO,12992.0,5
350472300,LINCOLN NATIONAL CORPORATION,30361.0,1
351140070,LINCOLN NATIONAL CORPORATION,78447.0,4
351151034,LINCOLN FINANCIAL ADVISORS CORPORAT,0.0,2
352508919,GRAVIE ADMINISTRATIVE SERVICES LLC,5675.0,1
352552359,KESTRA ADVISORY SERVICES,59983.0,6
352552359,KESTRA ADVISORY SERVICES LLC,0.0,1
352552359,"KESTRA ADVISORY SERVICES, LLC",0.0,1
352552359,KESTRA INVESTMENT SERVICES LLC,16500.0,1
361561860,NORTHERN TRUST COMPANY,58154.0,1
361561860,THE NORTHERN TRUST COMPANY,14015.0,2
362235791,"AON CONSULTING, INC.",138699.0,1
