ein,name,pagerank_score,num_clients,total_fees,same_parent_flag,parent_group_id,group_size,community_id
208981027,CAREOPERATIVE RECEIVABLES- HC,0.15000000000000002,1,21353.0,,,,4402
221146430,"PNC BANK, NATIONAL ASSOCIATION",0.15000000000000002,1,19381.0,1.0,46.0,3.0,4173
221211670,PRUDENTIAL INSURANCE COMPANY,0.15000000000000002,1,11591887.0,1.0,47.0,2.0,4420
222232264,AON CONSULTING,0.15000000000000002,1,88191.0,,,,4535
222978848,BEDERSON LLP,0.15000000000000002,1,60500.0,,,,4176
223319984,ADP BROKER-DEALER,0.15000000000000002,13,0.0,,,,4447
223703799,PRUDENTIAL JENNISON,0.15000000000000002,1,0.0,,,,4178
230455154,CAPITAL BLUECROSS,0.15000000000000002,14,38517.0,1.0,48.0,2.0,4463
230558310,"ENGLE-HAMBRIGHT & DAVIES, INC. (EHD",0.15000000000000002,1,22414.0,0.0,49.0,1.0,4180
230731260,JANNEY MONTGOMERY SCOTT LLC,0.15000000000000002,1,0.0,0.0,50.0,1.0,4181
231294723,"HIGHMARK, INC.",0.15000000000000002,1,-20948.0,1.0,51.0,3.0,4463
231315351,"THE BENECON GROUP, LLC",0.15000000000000002,14,203359.0,1.0,52.0,4.0,4463
231468619,VALLEY FORGE PENSION MANAGEMENT,0.15000000000000002,1,0.0,0.0,53.0,1.0,4184
231605938,"STRICKLER AGENCY, INC.",0.15000000000000002,1,2191.0,0.0,54.0,1.0,4185
231667011,DELTA DENTAL OF PENNSYLVANIA,0.15000000000000002,1,4784.0,0.0,55.0,1.0,4186
231669823,CONRAD SIEGEL,0.15000000000000002,2,1093680.0,,,,4151
231707341,"SEI GLOBAL SERVICES, INC.",0.15000000000000002,1,46490.0,0.0,56.0,1.0,4287
231899003,VANGUARD,0.15000000000000002,1,0.0,,,,4189
231945930,VANGUARD,0.15000000000000002,1,0.0,0.0,57.0,1.0,4133
231980475,KREISCHER MILLER,0.15000000000000002,1,54553.0,,,,4191
231999755,VANGUARD,0.15000000000000002,1,0.0,,,,4192
232184623,INDEPENDENCE ADMINISTRATORS,0.15000000000000002,2,99390.0,,,,4193
232329854,THE HAVERFORD TRUST COMPANY,0.15000000000000002,1,7684.0,0.0,58.0,1.0,4194
232384840,WELLS FARGO CLEARING SERVICES LLC,0.15000000000000002,1,0.0,1.0,59.0,4.0,4195
232385085,MCCONKEY BENEFITS & FINANCIAL SERVI,0.15000000000000002,3,72775.0,0.0,60.0,1.0,4196
232399040,COMMONWEALTH BENEFITS GROUP,0.15000000000000002,9,176921.0,0.0,61.0,1.0,4197
232413864,FIDUCIARY TRUST INTERNATIONAL,0.15000000000000002,1,24681.0,0.0,62.0,1.0,4198
232415973,HERBEIN & CO INC,0.15000000000000002,1,32000.0,0.0,63.0,1.0,4199
232504308,SIGNIFICA BENEFIT SERVICES,0.15000000000000002,1,204385.0,0.0,64.0,1.0,4200
232748550,VALLEY FORGE INVESTMENT CONSULTANTS,0.15000000000000002,1,0.0,0.0,65.0,1.0,4201
232962885,"WEBB INSURANCE, INC.",0.15000000000000002,1,575.0,0.0,66.0,1.0,4202
233037647,FULTON FINANCIAL ADVISORS,0.15000000000000002,1,24206.0,0.0,67.0,1.0,4203
233086396,"E. K. MCCONKEY & CO., INC.",0.15000000000000002,5,74420.0,0.0,68.0,1.0,4463
237384555,BLUE CROSS BLUE SHIELD OF LA,0.15000000000000002,1,26636.0,0.0,69.0,1.0,4205
251031405,MCGILL POWER BELL ASSOCIATES LLP,0.15000000000000002,1,12500.0,0.0,70.0,1.0,4232
251301205,LR WEBBER,0.15000000000000002,1,30594.0,,,,4207
251409618,MID ATLANTIC CAPITAL CORPORATION,0.15000000000000002,1,0.0,0.0,71.0,1.0,4208
251784573,PCI INSURANCE AGENCY,0.15000000000000002,4,43266.0,1.0,72.0,2.0,4209
251912027,CULPEPPER DEVEREAUX,0.15000000000000002,1,29492.0,,,,4396
260058143,CAPTRUST FINANCIAL ADVISORS,0.15000000000000002,1,25526.0,1.0,73.0,2.0,4493
261370698,HORIZON ACTUARIAL SERVICES LLC,0.15000000000000002,1,113050.0,0.0,74.0,1.0,4524
261768616,"CONNECTCARE3, LLC",0.15000000000000002,2,13576.0,0.0,75.0,1.0,4463
261769761,"MEDONE, LC",0.15000000000000002,1,20348.0,,,,4214
261870141,"BEVCAP MANAGEMENT, LLC",0.15000000000000002,1,34496.0,1.0,76.0,2.0,4215
262824668,"WESPAC PLAN SERVICES, LLC",0.15000000000000002,1,97500.0,0.0,77.0,1.0,4217
262824865,"WESPAC ADVISORS, LLC",0.15000000000000002,1,0.0,0.0,78.0,1.0,4217
263554645,ACRISURE LLC (HEAD CAPITAL ADVISORS,0.15000000000000002,1,34790.0,0.0,79.0,1.0,4218
264310632,MORGAN STANLEY SMITH BARNEY,0.15000000000000002,1,0.0,0.0,80.0,1.0,4219
264311657,LEAFHOUSE FINANCIAL ADVISORS LLC,0.15000000000000002,2,301369.0,0.0,81.0,1.0,4220
270367008,"KEYSTONE INSURERS GROUP, INC.",0.15000000000000002,1,73024.0,0.0,82.0,1.0,4221
270711617,"AZALEA ADMINISTRATION, LLC",0.15000000000000002,1,1537.0,0.0,83.0,1.0,4222
271207016,CORNERSTONE RETIREMENT PLAN ADMIN,0.15000000000000002,1,1450.0,0.0,84.0,1.0,4223
271502067,BLUE BENEFIT ADMINISTRATORS OF MASS,0.15000000000000002,2,23433.0,0.0,85.0,1.0,4234
271746834,"PLEXUS FINANCIAL SERVICES, LLC",0.15000000000000002,1,10000.0,0.0,86.0,1.0,4225
272037969,"NEWPORT GROUP, INC.",0.15000000000000002,2,53113.0,1.0,87.0,3.0,4226
272436452,AON HEWITT INVESTMENT CONSULTANTS,0.15000000000000002,1,71888.0,0.0,88.0,1.0,4381
273188744,SOLTIS INVESTMENT ADVISORS,0.15000000000000002,5,97655.0,0.0,89.0,1.0,4228
273463867,PCM RX MANAGEMENT,0.15000000000000002,1,20138.0,0.0,90.0,1.0,4495
273464475,GURUPRASAD SRIHARI,0.15000000000000002,1,7500.0,,,,4230
273959113,HEALTH SAGE CONSULTING INC,0.15000000000000002,4,48000.0,0.0,91.0,1.0,4231
274411131,"NEWPORT GROUP, INC.",0.15000000000000002,1,55103.0,1.0,87.0,3.0,4232
274666060,"AMPIAN HR OUTSOURCING, LLC",0.15000000000000002,1,6123.0,0.0,92.0,1.0,4233
300041952,HRC TOTAL SOLUTIONS TAX,0.15000000000000002,2,493979.0,0.0,93.0,1.0,4234
300447847,DIMENSIONAL FUND ADVISORS LP,0.15000000000000002,1,0.0,1.0,94.0,3.0,4235
300837157,"AP BENEFIT ADVISORS, LLC",0.15000000000000002,1,3094.0,0.0,95.0,1.0,4402
301413443,BAKER TILLY,0.15000000000000002,1,82091.0,,,,4237
30327374,MCSOLEY MCCOY & CO.,0.15000000000000002,1,9101.0,0.0,96.0,1.0,4238
310841368,U.S. BANK NATIONAL ASSOCIATION,0.15000000000000002,1,114261.0,1.0,46.0,3.0,4535
311191330,"MCGOHAN BRABENDER, INC.",0.15000000000000002,1,7615.0,0.0,97.0,1.0,4240
311360674,PENSION CORPORATION OF AMERICA,0.15000000000000002,1,7555.0,0.0,98.0,1.0,4241
311368946,"AMERICAN HEALTH HOLDING, INC.",0.15000000000000002,1,74095.0,0.0,99.0,1.0,4495
311418743,REFLECT HEALTH / CIGNA,0.15000000000000002,1,7815.0,0.0,100.0,1.0,4482
311440043,"EVERHART FINANCIAL GROUP, INC",0.15000000000000002,1,22301.0,0.0,101.0,1.0,4447
311582098,CBIZ BENEFITS & INSURANCE SERVICES,0.15000000000000002,1,31573.0,1.0,102.0,2.0,4308
311592130,NATIONWIDE,0.15000000000000002,1,22810.0,,,,4496
314156830,NATIONWIDE LIFE INSURANCE COMPANY,0.15000000000000002,1,58828.0,1.0,103.0,2.0,4459
314177100,NATIONWIDE,0.15000000000000002,1,1053.0,,,,4385
330818667,SAGEVIEW ADVISORY GROUP LLC,0.15000000000000002,1,62500.0,0.0,104.0,1.0,4249
330883241,ACTIVE & FIT-AMERICAN SPECIALTY HEA,0.15000000000000002,1,0.0,0.0,105.0,1.0,4349
331028341,"PATRIOT (POWER-KUNKLE GROUP, INC.)",0.15000000000000002,1,13685.0,0.0,106.0,1.0,4251
331077887,PGIM QUANTITATIVE SOLUTIONS LLC,0.15000000000000002,1,58143.0,0.0,107.0,1.0,4257
334144829,COHNREZNUICK,0.15000000000000002,1,9700.0,,,,4140
336134835,PENCHECKS TRUST COMPANY OF AMERICA,0.15000000000000002,1,14275.0,0.0,108.0,1.0,4390
340445620,JAMES B OSWALD COMPANY,0.15000000000000002,1,29395.0,0.0,109.0,1.0,4255
340648820,MMO,0.15000000000000002,1,39069.0,,,,4507
341213174,USI CONSULTING GROUP,0.15000000000000002,1,9450.0,1.0,110.0,2.0,4257
341337680,NORTHWESTERN OHIO ADMINISTRATORS IN,0.15000000000000002,1,14889.0,0.0,111.0,1.0,4415
341479833,"SCHWAB RETIREMENT PLAN SERVICES,INC",0.15000000000000002,1,387954.0,1.0,112.0,6.0,4133
341542819,WELLS FARGO CLEARING SVCS (WF ADVS),0.15000000000000002,3,43169.0,1.0,59.0,4.0,4132
341597728,"CLEARSTEAD ADVISORS,LLC",0.15000000000000002,1,6180.0,0.0,113.0,1.0,4261
341820650,"QDRO CONSULTANTS COMPANY, LLC",0.15000000000000002,1,1800.0,0.0,114.0,1.0,4262
342472558,SPC,0.15000000000000002,1,26697.0,,,,4263
344439491,SHUMAKER LOOP & KENDRICK LLP,0.15000000000000002,1,12556.0,0.0,115.0,1.0,4415
346565596,ERNST AND YOUNG US LLP,0.15000000000000002,2,67704.0,0.0,116.0,1.0,4420
350145825,AMERICAN UNITED LIFE INSURANCE CO,0.15000000000000002,5,12992.0,1.0,117.0,2.0,4517
350472300,LINCOLN NATIONAL CORPORATION,0.15000000000000002,1,30361.0,1.0,118.0,2.0,4267
351140070,LINCOLN NATIONAL CORPORATION,0.15000000000000002,4,78447.0,1.0,118.0,2.0,4404
351151034,LINCOLN FINANCIAL ADVISORS CORPORAT,0.15000000000000002,2,0.0,0.0,119.0,1.0,4269
352508919,GRAVIE ADMINISTRATIVE SERVICES LLC,0.15000000000000002,1,5675.0,0.0,120.0,1.0,4270
