layers,f1,auc,precision,recall
1,0.9036144578313253,0.9585253456221199,0.9036144578313253,0.9036144578313253
2,0.9050149929075467,0.9508448540706606,0.907647983237297,0.9036144578313253
3,0.9050149929075467,0.956989247311828,0.907647983237297,0.9036144578313253
4,0.9050149929075467,0.9754224270353302,0.907647983237297,0.9036144578313253
