fund_a,fund_b,shared_managers
132922204,231311874,2
132922204,260071475,1
132922204,264086627,1
132922204,264656792,1
132922204,271521006,1
132922204,320539100,1
132922204,341406066,1
132922204,362762678,1
132922204,421206172,1
132922204,42726691,2
132922204,43481758,1
132922204,440663509,2
132922204,455586030,1
132922204,472817157,1
132922204,473599330,1
132922204,473768464,1
132922204,520482550,1
132922204,521563984,1
132922204,522206266,2
132922204,541145723,1
132922204,550917836,1
132922204,561216391,1
132922204,562537962,1
132922204,581984495,1
132922204,60726489,1
132922204,650367984,1
132922204,650540100,1
132922204,742995593,1
132922204,752372684,1
132922204,752694563,1
132922204,752875180,2
132922204,800324447,1
132922204,813881290,1
132922204,821459401,1
132922204,823563982,2
132922204,831254672,1
132922204,832809084,1
132922204,850106941,1
132922204,850615121,1
132922204,850892816,1
132922204,853324939,1
132922204,872007795,2
132922204,954049363,1
132922204,990113530,1
132922204,991972777,1
133063500,471797746,1
133063500,60465530,1
133063500,911006438,1
134233377,132742395,2
134233377,141881132,1
134233377,161490676,1
134233377,203880413,1
134233377,205702117,1
134233377,205989542,1
134233377,208250290,1
134233377,208538333,1
134233377,221296609,1
134233377,260610707,1
134233377,260846505,1
134233377,270061167,1
134233377,271883111,1
134233377,300284495,1
134233377,314159950,2
134233377,340778636,1
134233377,352257489,1
134233377,362495346,1
134233377,362989662,1
134233377,381067560,1
134233377,421105676,1
134233377,42510895,1
134233377,431118328,1
134233377,451273930,1
134233377,452653391,2
134233377,453506561,1
134233377,455240671,1
134233377,462436774,1
134233377,463485489,1
134233377,472150172,2
134233377,520563938,1
134233377,562401998,1
134233377,611145339,1
134233377,680661238,1
134233377,710653502,2
134233377,760475815,1
134233377,813040678,1
134233377,822265990,1
134233377,832783957,1
134233377,842795435,1
134233377,853070386,1
134233377,923046645,2
134233377,942537238,2
134233377,952976080,1
134233377,953077405,1
141442607,341663157,1
141681699,561507131,1
141881132,132742395,1
141881132,134233377,1
141881132,161490676,1
141881132,203880413,1
141881132,205702117,1
141881132,205989542,1
141881132,208250290,1
141881132,208538333,2
141881132,221296609,1
141881132,260610707,1
141881132,260846505,2
141881132,270061167,1
141881132,271883111,1
141881132,300284495,2
141881132,314159950,1
141881132,340778636,1
141881132,352257489,1
141881132,362989662,1
141881132,381067560,1
141881132,421105676,2
141881132,42510895,1
141881132,451273930,2
141881132,452653391,1
141881132,453506561,1
141881132,455240671,1
141881132,462436774,1
141881132,463485489,1
141881132,472150172,1
141881132,520563938,1
141881132,562401998,1
141881132,611145339,2
141881132,680661238,1
141881132,710653502,2
141881132,760475815,1
141881132,813040678,1
141881132,822265990,2
141881132,832783957,1
141881132,842795435,1
141881132,853070386,1
141881132,923046645,2
141881132,942537238,1
141881132,952976080,1
141881132,953077405,2
146075575,473297412,2
146075575,473372642,1
146075575,520591656,2
146075575,521250028,2
146075575,521341890,2
146075575,521811971,2
146075575,540698135,2
146075575,860436017,1
146075575,911854749,1
146075575,941732792,1
161490676,132742395,1
161490676,134233377,1
161490676,141881132,1
161490676,203880413,1
161490676,205702117,1
161490676,205989542,1
161490676,208250290,1
161490676,208538333,1
161490676,221296609,1
161490676,260610707,1
161490676,260846505,1
161490676,270061167,1
161490676,271883111,1
161490676,300284495,1
161490676,314159950,1
161490676,340778636,1
161490676,352257489,1
161490676,362989662,1
161490676,381067560,1
161490676,421105676,1
161490676,42510895,1
161490676,451273930,1
161490676,452653391,1
161490676,453506561,1
161490676,455240671,1
161490676,462436774,1
161490676,463485489,1
161490676,472150172,1
161490676,520563938,1
161490676,562401998,1
161490676,611145339,1
161490676,680661238,1
161490676,710653502,1
161490676,760475815,1
161490676,813040678,1
161490676,822265990,1
161490676,832783957,1
161490676,842795435,1
161490676,853070386,1
161490676,923046645,1
161490676,942537238,1
161490676,952976080,1
161490676,953077405,1
161535313,20482717,1
161535313,208758429,1
161535313,221296609,1
161535313,223337602,1
161535313,264773205,1
161535313,264833015,1
161535313,30415090,1
161535313,311581466,1
161535313,320464445,1
161535313,351597954,1
161535313,411892770,1
161535313,460406130,1
161535313,463235190,1
161535313,465174246,1
161535313,472402229,1
161535313,473326478,1
161535313,541189694,2
161535313,541926760,2
161535313,611756067,1
161535313,731602134,1
161535313,743257322,1
161535313,822005387,1
161535313,822701953,1
161535313,823865728,1
161535313,834225264,1
161535313,854372477,1
161535313,951879075,1
200008018,331097329,1
200008018,370661228,1
200008018,42263917,1
200008018,541527978,1
200049637,464907386,1
200049637,520695019,1
200049637,520849036,1
200055506,476430809,1
200055506,476438390,1
200108244,208938238,1
200108244,237015826,1
200108244,431411668,1
200108244,581250243,1
200108244,841113245,1
200423081,221296609,1
200849843,471923111,1
201632876,20777615,1
201632876,262893562,1
201632876,452874131,1
201632876,823050051,1
201897663,20329382,1
201897663,204707579,1
201897663,231729679,1
201897663,232290246,1
201897663,263166327,1
201897663,472467773,1
201897663,571192153,1
201897663,741695800,1
201897663,814170527,1
201897663,814981134,1
201897663,820962487,1
201897663,831334174,1
201897663,870520406,1
201897663,911151039,1
203160292,112845313,1
203160292,113521426,1
203160292,132621497,1
203160292,132922204,1
203160292,203198788,1
203160292,20377419,1
203160292,20478308,1
203160292,20482717,1
203160292,20681934,1
203160292,208066203,1
203160292,231311874,1
203160292,260071475,1
203160292,264086627,1
203160292,264656792,1
203160292,271521006,1
203160292,320539100,1
203160292,341406066,1
203160292,360756300,1
203160292,362762678,1
203160292,421206172,1
203160292,42726691,1
203160292,43481758,1
203160292,440663509,1
203160292,453810227,1
203160292,455586030,1
203160292,472817157,1
203160292,473599330,1
203160292,473768464,1
203160292,520482550,1
203160292,521563984,1
203160292,522206266,1
203160292,541145723,1
203160292,550917836,1
203160292,561216391,1
203160292,562537962,1
203160292,581984495,1
203160292,60726489,1
203160292,611756067,1
203160292,650367984,1
203160292,650540100,1
203160292,710205415,1
203160292,742995593,1
203160292,752372684,1
203160292,752694563,1
203160292,752875180,1
203160292,800324447,1
203160292,810560289,1
203160292,813881290,1
203160292,821459401,1
203160292,823563982,1
203160292,831254672,1
203160292,832783957,1
203160292,832809084,1
203160292,850106941,1
203160292,850615121,1
203160292,850892816,1
203160292,853324939,1
203160292,872007795,1
203160292,954049363,1
203160292,990113530,1
203160292,991972777,1
203198788,203160292,1
203198788,204707579,1
203198788,360756300,1
203198788,453810227,1
203198788,464075013,1
203198788,470390618,1
203198788,471811024,1
203198788,611756067,1
203198788,710205415,1
203198788,752627778,1
203198788,810560289,1
203198788,821512790,1
203198788,821700385,1
203198788,832783957,1
203198788,941369591,1
20329382,112593090,1
20329382,131893923,1
20329382,201897663,1
20329382,204707579,1
20329382,208175031,2
20329382,231729679,1
20329382,232290246,1
20329382,232351964,1
20329382,232453088,1
20329382,263166327,1
20329382,264196387,1
20329382,330326013,1
20329382,360756300,1
20329382,390362010,1
20329382,472467773,1
20329382,472817157,2
20329382,540499731,1
20329382,541108079,1
20329382,571192153,1
20329382,660588600,1
20329382,741695800,1
20329382,814170527,1
20329382,814981134,1
20329382,820962487,1
20329382,823615975,1
20329382,831334174,1
20329382,854270873,1
20329382,870520406,1
20329382,911151039,1
20329382,931049977,1
20329382,943270968,1
20377419,112845313,1
20377419,113521426,1
20377419,132621497,1
20377419,132922204,1
20377419,203160292,1
20377419,20478308,1
20377419,20482717,1
20377419,20681934,1
20377419,208066203,1
20377419,231311874,1
20377419,260071475,1
20377419,264086627,1
20377419,264656792,1
20377419,271521006,1
20377419,320539100,1
20377419,341406066,1
20377419,362762678,1
20377419,421206172,1
20377419,42726691,1
20377419,43481758,1
20377419,440663509,1
20377419,455586030,1
20377419,472817157,1
20377419,473599330,1
20377419,473768464,1
20377419,520482550,1
20377419,521563984,1
20377419,522206266,1
20377419,541145723,1
