ein,name,total_fees,num_clients,name_clean,is_person,parent_group_id,group_size,same_parent_flag
208874282,LOCKTON INVESTMENT ADVISORS LLC,6399.0,2,LOCKTON INVESTMENT,False,45,2,1
221146430,PNC BANK NATIONAL ASSOCIATION,10669.0,1,PNC BANK NATIONAL ASSOCIATION,False,46,3,1
221146430,"PNC BANK, NATIONAL ASSOCIATION",19381.0,1,PNC BANK NATIONAL ASSOCIATION,False,46,3,1
221211670,PRUDENTAL INSURANCE CO.,185782.0,1,PRUDENTAL INSURANCE,False,47,2,1
221211670,PRUDENTIAL INSURANCE COMPANY,11591887.0,1,PRUDENTIAL INSURANCE COMPANY,False,47,2,1
230455154,CAPITAL BLUE CROSS,56877.0,9,BLUE CROSS,False,48,2,1
230455154,CAPITAL BLUECROSS,38517.0,14,BLUECROSS,False,48,2,1
230558310,"ENGLE-HAMBRIGHT & DAVIES, INC. (EHD",22414.0,1,ENGLEHAMBRIGHT DAVIES EHD,False,49,1,0
230731260,JANNEY MONTGOMERY SCOTT LLC,0.0,1,JANNEY MONTGOMERY SCOTT,False,50,1,0
231294723,HIGHMARK BLUE SHIELD (CENTRAL),110277.0,8,HIGHMARK BLUE SHIELD CENTRAL,False,51,3,1
231294723,HIGHMARK INC,114659.0,1,HIGHMARK,False,51,3,1
231294723,"HIGHMARK, INC.",-20948.0,1,HIGHMARK,False,51,3,1
231315351,"BENECON GROUP, LLC",35021.0,1,BENECON,False,52,4,1
231315351,THE BENECON GROUP,1610987.0,42,THE BENECON,False,52,4,1
231315351,THE BENECON GROUP LLC,143653.0,2,THE BENECON,False,52,4,1
231315351,"THE BENECON GROUP, LLC",203359.0,14,THE BENECON,False,52,4,1
231468619,VALLEY FORGE PENSION MANAGEMENT,0.0,1,VALLEY FORGE PENSION,False,53,1,0
231605938,"STRICKLER AGENCY, INC.",2191.0,1,STRICKLER AGENCY,False,54,1,0
231667011,DELTA DENTAL OF PENNSYLVANIA,4784.0,1,DELTA DENTAL OF PENNSYLVANIA,False,55,1,0
231707341,"SEI GLOBAL SERVICES, INC.",46490.0,1,SEI GLOBAL,False,56,1,0
231945930,"THE VANGUARD GROUP, INC.",191079.0,15,THE VANGUARD,False,57,1,0
232329854,THE HAVERFORD TRUST COMPANY,7684.0,1,THE HAVERFORD COMPANY,False,58,1,0
232384840,WELLS FARGO CLEARING SERVICES LLC,0.0,1,WELLS FARGO CLEARING,False,59,4,1
232385085,MCCONKEY BENEFITS & FINANCIAL SERVI,72775.0,3,MCCONKEY BENEFITS SERVI,False,60,1,0
232399040,COMMONWEALTH BENEFITS GROUP,176921.0,9,COMMONWEALTH BENEFITS,False,61,1,0
232413864,FIDUCIARY TRUST INTERNATIONAL,24681.0,1,FIDUCIARY INTERNATIONAL,False,62,1,0
232415973,HERBEIN & CO INC,32000.0,1,HERBEIN,False,63,1,0
232504308,SIGNIFICA BENEFIT SERVICES,204385.0,1,SIGNIFICA BENEFIT,False,64,1,0
232748550,VALLEY FORGE INVESTMENT CONSULTANTS,0.0,1,VALLEY FORGE INVESTMENT CONSULTANTS,False,65,1,0
232962885,"WEBB INSURANCE, INC.",575.0,1,WEBB INSURANCE,False,66,1,0
233037647,FULTON FINANCIAL ADVISORS,24206.0,1,FULTON,False,67,1,0
233086396,"E. K. MCCONKEY & CO., INC.",74420.0,5,E K MCCONKEY,False,68,1,0
237384555,BLUE CROSS BLUE SHIELD OF LA,26636.0,1,BLUE CROSS BLUE SHIELD OF LA,False,69,1,0
251031405,MCGILL POWER BELL ASSOCIATES LLP,12500.0,1,MCGILL POWER BELL ASSOCIATES LLP,False,70,1,0
251409618,MID ATLANTIC CAPITAL CORPORATION,0.0,1,MID ATLANTIC CORPORATION,False,71,1,0
251784573,PCI (PA CHAMBER INSURANCE),19371.0,2,PCI PA CHAMBER INSURANCE,False,72,2,1
251784573,PCI INSURANCE AGENCY,43266.0,4,PCI INSURANCE AGENCY,False,72,2,1
260058143,"CAPFINANCIAL PARTNERS, LLC",8155.0,1,CAPFINANCIAL PARTNERS,False,73,2,1
260058143,CAPTRUST FINANCIAL ADVISORS,25526.0,1,CAPTRUST,False,73,2,1
261370698,HORIZON ACTUARIAL SERVICES LLC,113050.0,1,HORIZON ACTUARIAL,False,74,1,0
261768616,"CONNECTCARE3, LLC",13576.0,2,CONNECTCARE3,False,75,1,0
261870141,BEVCAP HEALTH CAPTIVE - NC,12542.0,1,BEVCAP HEALTH CAPTIVE NC,False,76,2,1
261870141,"BEVCAP MANAGEMENT, LLC",34496.0,1,BEVCAP,False,76,2,1
262824668,"WESPAC PLAN SERVICES, LLC",97500.0,1,WESPAC PLAN,False,77,1,0
262824865,"WESPAC ADVISORS, LLC",0.0,1,WESPAC,False,78,1,0
263554645,ACRISURE LLC (HEAD CAPITAL ADVISORS,34790.0,1,ACRISURE HEAD,False,79,1,0
264310632,MORGAN STANLEY SMITH BARNEY,0.0,1,MORGAN STANLEY SMITH BARNEY,False,80,1,0
264311657,LEAFHOUSE FINANCIAL ADVISORS LLC,301369.0,2,LEAFHOUSE,False,81,1,0
270367008,"KEYSTONE INSURERS GROUP, INC.",73024.0,1,KEYSTONE INSURERS,False,82,1,0
270711617,"AZALEA ADMINISTRATION, LLC",1537.0,1,AZALEA ADMINISTRATION,False,83,1,0
271207016,CORNERSTONE RETIREMENT PLAN ADMIN,1450.0,1,CORNERSTONE RETIREMENT PLAN ADMIN,False,84,1,0
271502067,BLUE BENEFIT ADMINISTRATORS OF MASS,23433.0,2,BLUE BENEFIT ADMINISTRATORS OF MASS,False,85,1,0
271746834,"PLEXUS FINANCIAL SERVICES, LLC",10000.0,1,PLEXUS,False,86,1,0
272037969,"NEWPORT GROUP, INC.",53113.0,2,NEWPORT,False,87,3,1
272436452,AON HEWITT INVESTMENT CONSULTANTS,71888.0,1,AON HEWITT INVESTMENT CONSULTANTS,False,88,1,0
273188744,SOLTIS INVESTMENT ADVISORS,97655.0,5,SOLTIS INVESTMENT,False,89,1,0
273463867,PCM RX MANAGEMENT,20138.0,1,PCM RX,False,90,1,0
273959113,HEALTH SAGE CONSULTING INC,48000.0,4,HEALTH SAGE CONSULTING,False,91,1,0
274411131,"NEWPORT GROUP, INC.",55103.0,1,NEWPORT,False,87,3,1
274666060,"AMPIAN HR OUTSOURCING, LLC",6123.0,1,AMPIAN HR OUTSOURCING,False,92,1,0
300041952,HRC TOTAL SOLUTIONS TAX,493979.0,2,HRC TOTAL SOLUTIONS TAX,False,93,1,0
300447847,DIMENSIONAL FUND ADVISORS LP,0.0,1,DIMENSIONAL FUND,False,94,3,1
300837157,"AP BENEFIT ADVISORS, LLC",3094.0,1,AP BENEFIT,False,95,1,0
30327374,MCSOLEY MCCOY & CO.,9101.0,1,MCSOLEY MCCOY,False,96,1,0
310841368,U.S. BANK NATIONAL ASSOCIATION,114261.0,1,US BANK NATIONAL ASSOCIATION,False,46,3,1
311191330,"MCGOHAN BRABENDER, INC.",7615.0,1,MCGOHAN BRABENDER,False,97,1,0
311360674,PENSION CORPORATION OF AMERICA,7555.0,1,PENSION CORPORATION OF AMERICA,False,98,1,0
311368946,"AMERICAN HEALTH HOLDING, INC.",74095.0,1,AMERICAN HEALTH HOLDING,False,99,1,0
311418743,REFLECT HEALTH / CIGNA,7815.0,1,REFLECT HEALTH CIGNA,False,100,1,0
311440043,"EVERHART FINANCIAL GROUP, INC",22301.0,1,EVERHART,False,101,1,0
311582098,CBIZ BENEFITS & INSURANCE SERVICES,31573.0,1,CBIZ BENEFITS INSURANCE,False,102,2,1
314156830,NATIONWIDE INSURANCE,12058.0,1,NATIONWIDE INSURANCE,False,103,2,1
314156830,NATIONWIDE LIFE INSURANCE COMPANY,58828.0,1,NATIONWIDE LIFE INSURANCE COMPANY,False,103,2,1
330818667,SAGEVIEW ADVISORY GROUP LLC,62500.0,1,SAGEVIEW,False,104,1,0
330883241,ACTIVE & FIT-AMERICAN SPECIALTY HEA,0.0,1,ACTIVE FITAMERICAN SPECIALTY HEA,False,105,1,0
331028341,"PATRIOT (POWER-KUNKLE GROUP, INC.)",13685.0,1,PATRIOT POWERKUNKLE,False,106,1,0
331077887,PGIM QUANTITATIVE SOLUTIONS LLC,58143.0,1,PGIM QUANTITATIVE SOLUTIONS,False,107,1,0
336134835,PENCHECKS TRUST COMPANY OF AMERICA,14275.0,1,PENCHECKS COMPANY OF AMERICA,False,108,1,0
340445620,JAMES B OSWALD COMPANY,29395.0,1,JAMES B OSWALD COMPANY,False,109,1,0
341213174,USI CONSULTING GROUP,9450.0,1,USI CONSULTING,False,110,2,1
341337680,NORTHWESTERN OHIO ADMINISTRATORS IN,14889.0,1,NORTHWESTERN OHIO ADMINISTRATORS IN,False,111,1,0
341479833,SCHWAB RETIREMENT PLAN SERVICES,59150.0,1,SCHWAB RETIREMENT PLAN,False,112,6,1
341479833,"SCHWAB RETIREMENT PLAN SERVICES,INC",387954.0,1,SCHWAB RETIREMENT PLAN,False,112,6,1
341542819,WELLS FARGO ADVISORS FINANCIAL NETW,0.0,1,WELLS FARGO NETW,False,59,4,1
341542819,"WELLS FARGO CLEARING SERVICES, LLC",0.0,1,WELLS FARGO CLEARING,False,59,4,1
341542819,WELLS FARGO CLEARING SVCS (WF ADVS),43169.0,3,WELLS FARGO CLEARING SVCS WF ADVS,False,59,4,1
341597728,"CLEARSTEAD ADVISORS,LLC",6180.0,1,CLEARSTEAD,False,113,1,0
341820650,"QDRO CONSULTANTS COMPANY, LLC",1800.0,1,QDRO CONSULTANTS COMPANY,False,114,1,0
344439491,SHUMAKER LOOP & KENDRICK LLP,12556.0,1,SHUMAKER LOOP KENDRICK LLP,False,115,1,0
346565596,ERNST AND YOUNG US LLP,67704.0,2,ERNST AND YOUNG US LLP,False,116,1,0
350145825,AMERICAN UNITED LIFE INS CO,0.0,3,AMERICAN UNITED LIFE INS,False,117,2,1
350145825,AMERICAN UNITED LIFE INSURANCE CO,12992.0,5,AMERICAN UNITED LIFE INSURANCE,False,117,2,1
350472300,LINCOLN NATIONAL CORPORATION,30361.0,1,LINCOLN NATIONAL CORPORATION,False,118,2,1
351140070,LINCOLN NATIONAL CORPORATION,78447.0,4,LINCOLN NATIONAL CORPORATION,False,118,2,1
351151034,LINCOLN FINANCIAL ADVISORS CORPORAT,0.0,2,LINCOLN CORPORAT,False,119,1,0
352508919,GRAVIE ADMINISTRATIVE SERVICES LLC,5675.0,1,GRAVIE ADMINISTRATIVE,False,120,1,0
352552359,KESTRA ADVISORY SERVICES,59983.0,6,KESTRA,False,121,4,1
352552359,KESTRA ADVISORY SERVICES LLC,0.0,1,KESTRA,False,121,4,1
352552359,"KESTRA ADVISORY SERVICES, LLC",0.0,1,KESTRA,False,121,4,1
352552359,KESTRA INVESTMENT SERVICES LLC,16500.0,1,KESTRA INVESTMENT,False,121,4,1
361561860,NORTHERN TRUST COMPANY,58154.0,1,NORTHERN COMPANY,False,122,2,1
361561860,THE NORTHERN TRUST COMPANY,14015.0,2,THE NORTHERN COMPANY,False,122,2,1
362235791,"AON CONSULTING, INC.",138699.0,1,AON CONSULTING,False,123,1,0
363120284,GENWORTH FINANCIAL SEC CORP,0.0,2,GENWORTH SEC,False,124,1,0
363129984,DIMENSIONAL FUND ADVISORS,0.0,1,DIMENSIONAL FUND,False,94,3,1
