Model,F1,AUC,Precision,Recall
Full HeteroGNN,0.8827483848437228,0.9554531490015361,0.8905193186539261,0.8795180722891566
Structural Only,0.6388034898213545,0.5161290322580645,0.5579910001451589,0.7469879518072289
Homogeneous,0.9050149929075467,0.9477726574500769,0.907647983237297,0.9036144578313253
