fund_ein,manager_ein,manager_name,fee_paid
200008018,391995276,UMR,307477.0
200008018,311191330,"MCGOHAN BRABENDER, INC.",7615.0
453162889,474307706,HUMAN INTEREST ADVISOR LLC,6250.0
208175031,41590850,MASSACHUSETTS MUTUAL LIFE INSURANCE,1678.0
208175031,510116113,MORGAN STANLEY,488.0
208175031,134144565,THE BENEFIT PRACTICE,150.0
208175031,840467907,GREAT-WEST LIFE & ANNUITY INSURANCE,3654.0
208175031,134144565,THE BENEFIT PRACTICE,2164.0
251792083,251784573,PCI (PA CHAMBER INSURANCE),11484.0
251792083,231315351,"THE BENECON GROUP, LLC",7028.0
251792083,230455154,CAPITAL BLUECROSS,2088.0
251792083,261768616,CONNECTCARE3,1861.0
431558268,350145825,AMERICAN UNITED LIFE INSURANCE CO,4324.0
431558268,350145825,AMERICAN UNITED LIFE INSURANCE CO,6593.0
463485489,420127290,PRINCIPAL LIFE INSURANCE COMPANY,14181.0
463485489,742794194,KESTRA INVESTMENT SERVICES LLC,0.0
460455105,453834091,"ALTERNATIVE INVESTMENT ADVISORS, LL",8271.0
204353669,731399273,ACCESS FINANCIAL RESOURCES,10772.0
204353669,223319984,ADP BROKER-DEALER,0.0
473372642,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,5660.0
870575504,231315351,THE BENECON GROUP,49539.0
540698135,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,15299.0
540698135,43523567,NATIONAL FINANCIAL SERVICES,0.0
540698135,251409618,MID ATLANTIC CAPITAL CORPORATION,0.0
540698135,844519624,CREATIVE PLANNING,13943.0
310536640,131624203,TIAA,1492.0
464907386,351140070,LINCOLN NATIONAL CORPORATION,1738.0
201292646,900345133,UNDERWRITERS SERVICE CORPORATION,39730.0
201292646,363545085,HINES & ASSOCIATES,13389.0
201292646,340648820,MMO,39069.0
752875180,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,35784.0
752875180,42654524,"STRATEGIC ADVISORS, INC.",12161.0
208250290,420127290,PRINCIPAL LIFE INSURANCE COMPANY,8551.0
208250290,160765486,LUMSDEN MCCORMICK LLP,7793.0
453810227,135674085,"MERRILL LYNCH, PIERCE, FENNER AND S",128150.0
561268414,561167792,"CORPORATE BENEFITS SERVICE, INC.",35766.0
561268414,251912027,CULPEPPER DEVEREAUX,29492.0
850892816,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,6002.0
471137623,150329043,EXCELLUS BLUE CROSS BLUE SHIELD,18778.0
30593691,620951563,AMERICAN TRUST COMPANY,8701.0
30593691,131459550,MAZARS USA LLP,0.0
232063262,231315351,THE BENECON GROUP,15886.0
232063262,233086396,"E. K. MCCONKEY & CO., INC.",4428.0
542002267,274411131,"NEWPORT GROUP, INC.",55103.0
542002267,251031405,MCGILL POWER BELL ASSOCIATES LLP,12500.0
521665523,650608221,SLAVIC INTEGRATED ADMINISTRATION,190119.0
232220475,231315351,"THE BENECON GROUP, LLC",2640.0
232220475,231605938,"STRICKLER AGENCY, INC.",2191.0
112593090,840467907,GREAT-WEST LIFE & ANNUITY INSURANCE,54308.0
112593090,363120284,GENWORTH FINANCIAL SEC CORP,0.0
133063500,753182674,MATRIX TRUST COMPANY LLC,11885.0
133063500,311360674,PENSION CORPORATION OF AMERICA,7555.0
133063500,431270780,CREATIVE PLANNING LLC,1190.0
813881290,264311657,LEAFHOUSE FINANCIAL ADVISORS LLC,152410.0
813881290,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,95421.0
813881290,264311657,LEAFHOUSE FINANCIAL ADVISORS LLC,148959.0
813881290,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,108177.0
521665523,592749576,SLAVIC MUTUAL FUND MANAGEMENT CORP,46808.0
932392556,310841368,U.S. BANK NATIONAL ASSOCIATION,114261.0
932392556,991856619,GRANT THORNTON ADVISORS LLC,24897.0
932392556,366055558,GRANT THORNTON LLP,23850.0
910462347,911008626,A.W. REHN & ASSOCIATES,12034.0
811753373,421484983,"ADMIN GROUP, LLC DBA TAG RESURCES",685.0
811753373,366071399,TRANSAMERICA FINANCIAL LIFE INS CO,608.0
680482464,366071399,TRANSAMERICA FINANCIAL LIFE INSURAN,27192.0
208758429,133036745,"ADP, INC.",1908.0
131893923,941687665,BANK OF AMERICA,4400.0
951642398,364001764,"FIDUCIENT ADVISORS, LLC",7094.0
951642398,131624203,TIAA,6607.0
