fund_ein,manager_ein,manager_name,fee_paid
474749384,161264154,"MERITAIN HEALTH, AN AETNA COMPANY",259371.0
474749384,231315351,THE BENECON GROUP,205578.0
474749384,203354970,LOCKTON COMPANIES,22275.0
474749384,582522668,"ONEDIGITAL (CLJM, LLC. DBA HM BENEF",-100.0
386234363,132919773,GRAYSTONE CONSULTING (MSSB),382110.0
386234363,132919773,SMITH BARNEY CONSULTING,163001.0
386234363,382529039,FINKEL WHITEFIELD FELDMAN,146957.0
386234363,261370698,HORIZON ACTUARIAL SERVICES LLC,113050.0
386234363,943267050,MDT ADVISOR MGMT,94919.0
386234363,382771817,DAVID DUFFY CPA PLLC,45850.0
386234363,742798841,SAGE ASSET MGMT,33403.0
386234363,380864715,JP MORGAN,5136.0
381428364,382529039,FINKEL WHITEFIELD FELDMAN,148116.0
381428364,132919773,GRAYSTONE CONSULTING (MSSB),83454.0
381428364,382771817,DAVID DUFFY CPA PLLC,76739.0
381428364,133954297,BUCK CONSULTANTS,16480.0
381428364,380864715,JP MORGAN,8964.0
912056925,721273520,BEAM WEALTH ADVISORS,0.0
912056925,710294708,VOYA RETIREMENT INSURANCE & ANNUIT,0.0
362762678,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,463.0
362762678,43046611,LPL FINANCIAL LLC,0.0
800324447,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,219.0
800324447,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,3588.0
582644728,231315351,THE BENECON GROUP,49347.0
582644728,823876893,HORTON BENEFITS COMPANY,30555.0
582644728,161264154,"MERITAIN HEALTH, AN AETNA COMPANY",6812.0
60726489,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,4188.0
60726489,232384840,WELLS FARGO CLEARING SERVICES LLC,0.0
42510895,420127290,PRINCIPAL LIFE INSURANCE COMPANY,44935.0
42510895,42675571,COMMONWEALTH FINANCIAL NETWORK,0.0
931049977,840467907,EMPOWER ANNUITY INSURANCE COMPANY,20622.0
421206172,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,17239.0
232351964,840467907,EMPOWER ANNUITY INS. CO. OF AMERICA,50.0
611756067,133036745,"ADP, INC.",367875.0
611756067,135674085,MERRILL LYNCH PIERCE FENNER & SMITH,0.0
611756067,223319984,ADP BROKER-DEALER,0.0
611756067,133036745,"ADP, INC.",154927.0
611756067,131639826,EISNER AMPER LLP,62100.0
611756067,135674085,MERRILL LYNCH PIERCE FENNER & SMITH,0.0
611756067,223319984,ADP BROKER-DEALER,0.0
611756067,133036745,"ADP, INC.",302665.0
611756067,135674085,MERRILL LYNCH PIERCE FENNER & SMITH,0.0
611756067,223319984,ADP BROKER-DEALER,0.0
271521006,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,15862.0
271521006,43046611,LPL FINANCIAL LLC,0.0
456577522,273959113,HEALTH SAGE CONSULTING INC,12000.0
476430809,383269858,GURUPRASAD SRIHARI,10000.0
476430809,200488721,CYBERSOFT TECHNOLOGIES CORPORATION,1500.0
954049363,521309931,"T ROWE PRICE RPS, INC",42879.0
954049363,201054428,ACTUARIAL BENEFITS CORP.,0.0
954049363,752401150,AMERICAN BEACON FUNDS,0.0
954049363,593171014,EAGLEASSET,0.0
954049363,42647786,FIDELITY,0.0
954049363,954597302,METROPOLITAN WEST FUNDS,0.0
954049363,956817943,AMERICAN FUNDS,0.0
954049363,953692822,ALL SPRINGS GLOBAL FUNDS,0.0
476461822,476768364,ANTHONY L WOLFE,1200.0
462755706,461803145,"FORUSALL, INC.",6028.0
462755706,833455979,"AT RETIREMENT SERVICES, LLC",3352.0
271883111,420127290,PRINCIPAL LIFE INSURANCE COMPANY,520.0
456577522,273959113,HEALTH SAGE CONSULTING INC,12000.0
341406066,340445620,JAMES B OSWALD COMPANY,29395.0
42103585,260058143,"CAPFINANCIAL PARTNERS, LLC",8155.0
42103585,131624203,TIAA,803.0
760151437,752355889,INSURANCE MANAGEMENT SERVICES,58988.0
832124345,61053228,USI CONSULTING GROUP,12627.0
854270873,840467907,EMPOWER ANNUITY INSURANCE COMPANY,3143.0
113521426,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,34861.0
113521426,334144829,COHNREZNUICK,9700.0
112156739,232504308,SIGNIFICA BENEFIT SERVICES,204385.0
112156739,200878127,BROWN & BROWN OF PENNSYLVANIA,26649.0
112156739,231667011,DELTA DENTAL OF PENNSYLVANIA,4784.0
520482550,753014089,BROWN ADVISORY LLC,43664.0
520482550,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,-33034.0
476430809,383269858,GURUPRASAD SRIHARI,10000.0
476430809,200488721,CYBERSOFT TECHNOLOGIES CORPORATION,1500.0
260846505,952755361,WILSHIRE ADVISORS LLC,0.0
112434167,452355015,"OMADA COMPLETE, INC.",0.0
112434167,452355015,OMADA HEALTH INC,0.0
112434167,330883241,ACTIVE & FIT-AMERICAN SPECIALTY HEA,0.0
823615975,271207016,CORNERSTONE RETIREMENT PLAN ADMIN,1450.0
823615975,840467907,EMPOWER ANNUITY INSURANCE,0.0
260610707,911072394,HUNNEX AND SHOEMAKER INC,8400.0
710220904,561623293,MCGRIFF INSURANCE SERVICES,
710220904,710226428,BLUE ADVANTAGE ADMINISTRATORS OF AR,364093.0
860004538,222232264,AON CONSULTING,88191.0
860004538,366055558,GRANT THORNTON LLP,13650.0
870354727,421520346,PRINCIPAL,126875.0
870354727,461247632,"RASMUSON & COMPANY, PC",46207.0
870354727,363681493,GREATBANC TRUST COMPANY,26800.0
870354727,870628064,JDGLENN & ASSOCIATES,11800.0
541108079,840467907,EMPOWER ANNUITY INSURANCE CO. OF AM,24718.0
541108079,561762637,RETIREMENT PLAN SOLUTIONS,75.0
541108079,560614254,"DEFINITI, LLC",490.0
940382325,131624203,TIAA-TEACHERS INSUR & ANNUITY ASSOC,10314.0
470660406,931253576,STANCORP FINANCIAL GROUP,20890.0
470660406,421445429,CAMBRIDGE INVESTMENT RESEARCH,10493.0
264392825,350145825,AMERICAN UNITED LIFE INS CO,0.0
264392825,350145825,AMERICAN UNITED LIFE INS CO,0.0
264392825,931242462,NORTHWEST CAPITAL MNGMT,0.0
264392825,350145825,AMERICAN UNITED LIFE INS CO,0.0
264392825,931242462,NORTHWEST CAPITAL MNGMT,0.0
431613858,161662117,"MEDWATCH, LLC",5989.0
431613858,311418743,REFLECT HEALTH / CIGNA,7815.0
141881132,420127290,PRINCIPAL LIFE INSURANCE COMPANY,38703.0
141881132,351151034,LINCOLN FINANCIAL ADVISORS CORPORAT,0.0
141881132,952755361,WILSHIRE ASSOCIATES INCORPORATED,0.0
141881132,420127290,PRINCIPAL LIFE INSURANCE COMPANY,27942.0
141881132,351151034,LINCOLN FINANCIAL ADVISORS CORPORAT,0.0
141881132,952755361,WILSHIRE ADVISORS LLC,0.0
452653391,420127290,PRINCIPAL LIFE INSURANCE COMPANY,65600.0
452653391,132638166,UBS FINANCIAL SERVICES INC,0.0
452653391,364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,0.0
814981134,231945930,"THE VANGUARD GROUP, INC.",255.0
273481484,273464475,GURUPRASAD SRIHARI,7500.0
520563938,420127290,PRINCIPAL LIFE INSURANCE COMPANY,13348.0
520563938,412016508,WEALTH ENHANCEMENT ADVISORY SERVICE,11980.0
222842846,231315351,THE BENECON GROUP,77266.0
222842846,233086396,"E. K. MCCONKEY & CO., INC.",29730.0
222842846,230455154,CAPITAL BLUECROSS,-24775.0
541926760,133036745,"ADP, INC.",14721.0
541926760,352552359,KESTRA ADVISORY SERVICES,9048.0
541145723,541019610,CST GROUP,27028.0
541145723,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,1528.0
208938238,561449504,"HEALTHGRAM, INC",5110.0
208938238,300837157,"AP BENEFIT ADVISORS, LLC",3094.0
208938238,591031071,CIGNA CORPORATION,1450.0
264773205,133036745,"ADP, INC.",290.0
264773205,223319984,ADP BROKER-DEALER,0.0
561507131,364147777,DAVIS & CAMPBELL LLC,26565.0
561507131,134238973,TRANSITION FINANCE STRATEGIES,16365.0
561507131,134238973,TRANSITION FINANCE STRATEGIES,27927.0
561507131,570381582,"ELLIOTT DAVIS, PLLC",16000.0
264196387,951411037,CAPITAL RESEARCH MANAGEMENT COMPANY,0.0
205581516,113335620,GOVERNMENT SERVICE CONTRACTORS,14100.0
132922204,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,23724.0
132922204,42654524,"STRATEGIC ADVISORS, INC.",7450.0
460440466,824555287,CAPITAL GROUP RETIREMENT PLAN SVCS,31450.0
330893794,314156830,NATIONWIDE INSURANCE,12058.0
560481994,620951563,AMERICAN TRUST COMPANY,6640.0
362235147,311592130,NATIONWIDE,22810.0
362235147,850833363,DEFINITI LLC,2525.0
362235147,135581829,METROPOLITAN LIFE INSURANCE COMPANY,30.0
843111227,314156830,NATIONWIDE,7869.0
843111227,760342548,ALLIANCE BENEFIT GROUP,3390.0
301103971,621291257,THE TRUST COMPANY OF TENNESSEE,27760.0
471097591,474474775,"GUIDELINE, INC.",11153.0
340778636,420127290,PRINCIPAL LIFE INSURANCE COMPANY,41745.0
340778636,341597728,"CLEARSTEAD ADVISORS,LLC",6180.0
260846505,420127290,PRINCIPAL LIFE INSURANCE COMPANY,5412.0
260846505,952755361,WILSHIRE ASSOCIATES INCORPORATED,0.0
562401998,420127290,PRINCIPAL LIFE INSURANCE COMPANY,16670.0
462436774,420127290,PRINCIPAL LIFE INSURANCE COMPANY,3406.0
462436774,113271022,"ASSOCIATED PENSION CONSULTANTS, INC",3240.0
431411668,591031071,CIGNA HEALTH AND LIFE INSURANCE COM,27451.0
522206266,208764829,,18006.0
522206266,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,14359.0
522206266,42654524,"STRATEGIC ADVISORS, INC.",7446.0
470770315,314156830,NATIONWIDE,59.0
222472997,42530412,"THE ANGELL PENSION GROUP, INC.",234302.0
222472997,41782600,ROCKLAND TRUST COMPANY,19878.0
222472997,135160382,BANK OF NEW YORK MELLON,8207.0
222472997,363664388,UBS GLOBAL ASSET MANAGEMENT,3674.0
591173286,710294708,VOYA RETIREMENT INSURANCE & ANNUITY,475.0
823563982,301413443,BAKER TILLY,82091.0
823563982,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,63438.0
823563982,42654524,"STRATEGIC ADVISORS, INC.",24039.0
823563982,271746834,"PLEXUS FINANCIAL SERVICES, LLC",10000.0
263166327,231945930,"THE VANGUARD GROUP, INC.",52363.0
510342132,845125577,"FAIRMONT BENEFITS, INC.",8820.0
510342132,231315351,"THE BENECON GROUP, LLC",5919.0
510342132,510020405,HIGHMARK OF DE,3148.0
510342132,231294723,HIGHMARK BLUE SHIELD (CENTRAL),-1297.0
680661238,420127290,PRINCIPAL LIFE INSURANCE COMPANY,50.0
473599330,473558396,EXENCIAL WEALTH ADVISORS LLC,52780.0
473599330,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,46676.0
630696876,630103830,BLUE CROSS AND BLUE SHIELD OF AL,10701.0
112593090,363120284,GENWORTH FINANCIAL SEC CORP,0.0
112593090,840467907,EMPOWER LIFE & ANNUITY INSURANCE,31608.0
112593090,840467907,GREAT-WEST LIFE & ANNUITY INSURANCE,15838.0
112593090,862963468,ECONOMIC GROUP PENSION SVCS INC,8977.0
112593090,862963468,ECONOMIC GROUP PENSION SVCS INC,3420.0
260846505,420127290,PRINCIPAL LIFE INSURANCE COMPANY,12054.0
451273930,952755361,WILSHIRE ASSOCIATES INCORPORATED,0.0
451273930,453004703,"PEACHCAP TAX & ADVISORY, LLC",17376.0
451273930,420127290,PRINCIPAL LIFE INSURANCE COMPANY,43784.0
451273930,420127290,PRINCIPAL LIFE INSURANCE COMPANY,71251.0
451273930,61397347,"USI ADVISORS, INC.",27462.0
451273930,952755361,"WILSHIRE ADVISORS, LLC",0.0
933826244,710764688,RELYANCE BANK,35787.0
650540100,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,38893.0
650540100,342472558,SPC,26697.0
650540100,821434504,ONEDIGITAL INVESTMENT ADVISORS LLC,19745.0
431613858,831322110,"EMERGING THERAPY SOLUTIONS, INC.",13000.0
431613858,431364135,"HEALTHLINK, INC.",13544.0
431613858,133068979,"MULTIPLAN, INC",18892.0
431613858,464488538,"DREXI, INC",26456.0
431613858,814888426,PACE UNDERWRITERS,337241.0
431613858,431210557,ARNOLD INSURANCE COMPANY,44040.0
431613858,431770779,"GROUP BENEFIT SERVICES, INC.",16868.0
431613858,431770779,"GROUP BENEFIT SERVICES, INC.",98664.0
260610707,420127290,PRINCIPAL LIFE INSURANCE COMPANY,13324.0
205404353,231315351,THE BENECON GROUP,67485.0
205404353,263554645,ACRISURE LLC (HEAD CAPITAL ADVISORS,34790.0
205404353,161264154,"MERITAIN HEALTH, AN AETNA COMPANY",8092.0
831254672,42675571,COMMONWEALTH FINANCIAL NETWORK,60091.0
831254672,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,22627.0
208066203,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,1627.0
821700385,113665754,ASCENSUS LLC,839.0
237404857,231315351,THE BENECON GROUP,78482.0
237404857,251301205,LR WEBBER,30594.0
237404857,261768616,CONNECTCARE3,7116.0
237404857,231294723,"HIGHMARK, INC.",-20948.0
42263917,391995276,"UMR, INC.",47878.0
221296609,420127290,PRINCIPAL LIFE INSURANCE COMPANY,157409.0
221296609,352552359,"KESTRA ADVISORY SERVICES, LLC",0.0
221296609,421479618,PRINCIPAL GLOBAL INVESTORS LLC,0.0
361004130,221211670,PRUDENTIAL INSURANCE COMPANY,11591887.0
361004130,364391310,BSWIFT LLC,761346.0
361004130,221211670,PRUDENTIAL INSUARNCE CO.,204703.0
361004130,610736136,MERCER INVESTMENT CONSULTING,202513.0
361004130,221211670,PRUDENTAL INSURANCE CO.,185782.0
361004130,361561860,NORTHERN TRUST COMPANY,58154.0
361004130,390859910,"BAKER TILLY US, LLP",40760.0
361004130,132834414,MERCER,13601.0
361004130,135381590,BDO SEIDMAN LLP,8880.0
874170846,231315351,THE BENECON GROUP,20826.0
874170846,161264154,"MERITAIN HEALTH, AN AETNA COMPANY",3798.0
43287088,341542819,"WELLS FARGO CLEARING SERVICES, LLC",0.0
943270968,942456320,ASSOCIATED PENSION CONSULTANTS,20346.0
943270968,840467907,EMPOWER ANNUITY INS CO OF AMERICA,37004.0
530204701,844758315,HUB INVESTMENT PARTNERS,24682.0
530204701,42675571,COMMONWEATLH FINANCIAL NETWORK,6250.0
530204701,131624203,TIAA,225.0
203198788,113665754,"ASCENSUS, LLC",22815.0
203198788,135674085,MERRILL LYNCH RETIREMENT BENEFIT SV,15037.0
264833015,133036745,"ADP, INC.",74629.0
880099795,582522668,ONEDIGITAL (DILLON HEALTH),9317.0
880099795,231315351,THE BENECON GROUP,5283.0
880099795,161264154,"MERITAIN HEALTH, AN AETNA COMPANY",2919.0
264656792,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,0.0
850615121,750786316,WEAVER AND TIDWELL LLP,42000.0
850615121,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,19729.0
850615121,132638166,UBS FINANCIAL SERVICES,12324.0
231695009,231315351,THE BENECON GROUP,1740.0
231695009,230455154,CAPITAL BLUECROSS,667.0
231695009,232962885,"WEBB INSURANCE, INC.",575.0
911858530,854122522,WEALTH PLAN INVESTMENT MGT LLC,27546.0
911858530,10233346,JOHN HANCOCK LIFE INSURANCE COMPANY,4094.0
941732792,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,15894.0
941732792,841612955,INNOVEST PORTFOLIO SOLUTIONS LLC,8000.0
941732792,43499945,CARON & BLETZER PLLC,12750.0
271883111,420127290,PRINCIPAL LIFE INSURANCE COMPANY,520.0
161535313,133036745,"ADP, INC.",12821.0
161535313,352552359,KESTRA ADVISORY SERVICES,6373.0
161535313,133036745,"ADP, INC.",13979.0
161535313,352552359,KESTRA ADVISORY SERVICES,7228.0
161535313,133036745,"ADP, INC.",14974.0
161535313,352552359,KESTRA ADVISORY SERVICES,7114.0
141681699,134238973,"TRANSITION FINANCE STRATEGIES, LLC",20155.0
141681699,141604297,"RBT CPAS, LLP",12561.0
231539454,231315351,THE BENECON GROUP,45604.0
231539454,331028341,"PATRIOT (POWER-KUNKLE GROUP, INC.)",13685.0
231539454,231294723,HIGHMARK BLUE SHIELD (CENTRAL),-15356.0
270093845,730384245,OSMA,101761.0
270093845,270367008,"KEYSTONE INSURERS GROUP, INC.",73024.0
270093845,610600467,AL TORSTRICK INSURANCE AGENCY,59443.0
270093845,815191759,FOUNDATION RISK PARTNERS,57105.0
270093845,610246800,KENTUCKY MEDICAL ASSOCIATION,50069.0
270093845,610607472,"CHAS M MOORE INSURANCE AGENCY, INC.",41983.0
270093845,842047961,ADVOCATE BUSINESS INSURANCE SOLUTIO,41847.0
270093845,910189318,MOSS ADAMS LLP,40523.0
270093845,471673715,CIS INSURANCE AND INVESTMENTS,33951.0
270093845,820557866,"NFP CORPORATE SERVICES (OK), LLC",31334.0
270093845,922480517,HOOPER CONSULTING GROUP,27453.0
270093845,833288732,JOHNSON POHLMANN INSURANCE,23744.0
270093845,730781676,MCAFEE & TAFT,22769.0
270093845,593554482,WAKELY CONSULTING GROUP,16565.0
270093845,203974530,OVATION HEALTH & LIFE SERVICES,8577.0
541557243,941347393,"WELLS FARGO BANK, N.A.",64000.0
541557243,941347393,"WELLS FARGO BANK, N.A.",38913.0
231729679,231945930,"THE VANGUARD GROUP, INC.",7294.0
200793410,431420563,EXPRESS SCRIPTS INC.,94734.0
200793410,420959302,DELTA DENTAL,61952.0
200793410,61593514,WEX HEALTH INC.,23160.0
200793410,61227840,VISION SERVICE PLAN,18766.0
842795435,420127290,PRINCIPAL LIFE INSURANCE COMPANY,11802.0
842795435,760560371,RILEY AND COMPANY PLLC,18000.0
844034514,231315351,THE BENECON GROUP LLC,142072.0
844034514,161264154,MERITAIN HEALTH,85172.0
844034514,232184623,INDEPENDENCE ADMINISTRATORS,60027.0
844034514,231315351,THE BENECON GROUP,25537.0
844034514,261768616,"CONNECTCARE3, LLC",7211.0
844034514,232184623,INDEPENDENCE ADMINISTRATORS,39363.0
844034514,231315351,THE BENECON GROUP,18330.0
844034514,261768616,"CONNECTCARE3, LLC",6365.0
452991628,650608221,SLAVIC INTEGRATED ADMINISTRATION,16250.0
452991628,823329197,GOODWORTH WEALTH MANAGEMENT,7000.0
550917836,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,9280.0
550917836,833983879,DSR CPA AND CONSULTANTS LLC,0.0
430902269,231315351,THE BENECON GROUP,41488.0
364742361,471411118,GLOBAL RETIREMENT PARTNERS,0.0
364742361,813989034,M2B RETIREMENT CONSUL LLC,9005.0
951879075,611758632,"PENSIONMARK FINANCIAL GROUP, LLC",11064.0
951879075,611758632,"PENSIONMARK FINANCIAL GROUP, LLC",11064.0
951879075,133036745,"ADP, INC.",8702.0
951879075,133036745,"ADP, INC.",8702.0
951879075,223319984,ADP BROKER-DEALER,0.0
951879075,223319984,ADP BROKER-DEALER,0.0
953077405,420127290,PRINCIPAL LIFE INSURANCE COMPANY,198.0
953077405,341542819,WELLS FARGO ADVISORS FINANCIAL NETW,0.0
953077405,952755361,WILSHIRE ADVISORS LLC,0.0
431298245,161450952,EPIC RETIREMENT PLAN SERVICES,33029.0
431298245,201903821,MONETA GROUP LLC,29350.0
431298245,941737782,"CHARLES SCHWAB & CO., INC.",0.0
510501454,237384555,BLUE CROSS BLUE SHIELD OF LA,26636.0
541639685,592937883,RAYMOND JAMES FSA INC,29818.0
60465530,61053228,USI CONSULTING GROUP,118740.0
60465530,753182674,BROADRIDGE,76067.0
60465530,66033492,AETNA LIFE INSURANCE COMPANY,32245.0
20777615,161124166,"PAYCHEX, INC.",11806.0
811753373,421484983,"ADMIN GROUP, LLC DBA TAG RESOURCES",619.0
811753373,366071399,TRANSAMERICA FINANCIAL LIFE INS CO,529.0
352121147,231315351,THE BENECON GROUP,134892.0
146075575,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,9513.0
146075575,43523567,NATIONAL FINANCIAL SERVICES,0.0
146075575,161131146,BONADIO & CO. LLP,31000.0
272037969,953706234,PLANMEMBER FINANCIAL CORPORATION,17574.0
640415733,141918990,TEMPLETON & COMPANY LLP,17418.0
640415733,201181458,NOVA 401(K) ASSOCIATES LP,7761.0
640415733,366071399,TRANSAMERICA LIFE INSURANCE COMPANY,30132.0
640415733,831488684,MAGNOLIA CAPITAL ADVISORS LLC,8134.0
208538333,420127290,PRINCIPAL LIFE INSURANCE COMPANY,26403.0
208538333,952755361,WILSHIRE ADVISORS LLC,0.0
346685472,341337680,NORTHWESTERN OHIO ADMINISTRATORS IN,14889.0
346685472,344439491,SHUMAKER LOOP & KENDRICK LLP,12556.0
346685472,593676225,"MARINER INSTITUTIONAL, LLC",10000.0
346685472,910675641,MILLIMAN INC,6704.0
390494170,522383166,HEALTHEQUITY INC,5852.0
823050051,161124166,"PAYCHEX, INC.",505.0
943339062,161486352,PAYCHEX SECURITIES CORP.,28038.0
943339062,10233346,JOHN HANCOCK LIFE INS. CO.,15264.0
830376638,231315351,THE BENECON GROUP,40641.0
830376638,233086396,"E. K. MCCONKEY & CO., INC.",12300.0
822701953,133036745,"ADP, INC.",5876.0
421105676,420127290,PRINCIPAL LIFE INSURANCE COMPANY,28604.0
421105676,420941553,PRINCIPAL SECURITIES INC,0.0
421105676,952755361,WILSHIRE ADVISORS LLC,0.0
300284495,341542819,WELLS FARGO CLEARING SVCS (WF ADVS),20474.0
300284495,640936231,DYATECH LLC,1121.0
300284495,420127290,PRINCIPAL LIFE INSURANCE COMPANY,4953.0
300284495,952755361,WILSHIRE ASSOCIATES INCORPORATED,0.0
300284495,341542819,WELLS FARGO CLEARING SVCS (WF ADVS),17483.0
300284495,640936231,DYATECH LLC,847.0
300284495,420127290,PRINCIPAL LIFE INSURANCE COMPANY,4087.0
300284495,952755361,WILSHIRE ASSOCIATES INCORPORATED,0.0
300284495,341542819,WELLS FARGO CLEARING SVCS (WF ADVS),5212.0
300284495,640936231,DYATECH LLC,500.0
300284495,420127290,PRINCIPAL LIFE INSURANCE COMPANY,1802.0
300284495,952755361,WILSHIRE ASSOCIATES INCORPORATED,0.0
311581466,311440043,"EVERHART FINANCIAL GROUP, INC",22301.0
311581466,133036745,"ADP, INC.",17113.0
431828281,582522668,"ONEDIGITAL (CLJM, LLC. DBA HM BENEF",21240.0
231311874,376572947,NEWPORT CAPITAL GROUP,50432.0
231311874,232413864,FIDUCIARY TRUST INTERNATIONAL,24681.0
231311874,42654524,STRATEGIC ADVISORS,17727.0
231311874,232329854,THE HAVERFORD TRUST COMPANY,7684.0
231311874,42647786,FIDELITY INVESTMENTS INS. OPER. CO.,-48091.0
240795620,710294708,VOYA LIFE INSURANCE & ANNUITY CO.,0.0
472150172,420127290,PRINCIPAL LIFE INSURANCE COMPANY,13278.0
472150172,364317381,MORNINGSTAR INVESTMENT MANAGEMENT L,0.0
223843134,381543746,E PLAN SERVICES,5775.0
561216391,420714325,RSM US LLP,12139.0
561216391,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,3670.0
831090940,300041952,HRC TOTAL SOLUTIONS TAX,266551.0
831090940,271502067,BLUE BENEFIT ADMINISTRATORS OF MASS,12233.0
831090940,300041952,HRC TOTAL SOLUTIONS TAX,227428.0
831090940,271502067,BLUE BENEFIT ADMINISTRATORS OF MASS,11200.0
370699952,350145825,AMERICAN UNITED LIFE INSURANCE CO,615.0
660588600,41590850,MASSACHUSETTS MUTUAL,216152.0
860436017,133689044,TRANSAMERICA RETIREMENT SOLUTIONS,3855.0
473768464,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,2915.0
464075013,113665754,ASCENSUS LLC,9968.0
273574174,113401702,INTAC,24615.0
200108244,591031071,CIGNA HEALTH & LIFE INS CO,77197.0
200108244,591031071,CIGNA HEALTH & LIFE INS CO,87819.0
200108244,591031071,CIGNA HEALTH & LIFE INS CO,91015.0
200108244,591031071,CIGNA HEALTH & LIFE INS CO,93848.0
200108244,591031071,CIGNA HEALTH & LIFE INS CO,108519.0
200108244,591031071,CIGNA HEALTH & LIFE INS CO,158544.0
260328929,752355889,INSURANCE MANAGEMENT SERVICES,49946.0
822551854,620951563,AMERICAN TRUST COMPANY,9512.0
822551854,410746749,CLIFTONLARSONALLEN WEALTH ADVISORS,7148.0
822551854,863678481,MAP RETIREMENT USA LLC,400.0
452874131,161124166,"PAYCHEX, INC.",7057.0
204707579,231945930,"THE VANGUARD GROUP, INC.",41220.0
204707579,232748550,VALLEY FORGE INVESTMENT CONSULTANTS,0.0
204707579,231468619,VALLEY FORGE PENSION MANAGEMENT,0.0
204707579,113665754,ASCENSUS LLC,0.0
270061167,420127290,PRINCIPAL LIFE INSURANCE COMPANY,5823.0
204755074,611013183,"HUMANA HEALTH PLAN, INC.",141184.0
390362010,840467907,EMPOWER INSURANCE COMPANY OF AMERIC,45307.0
390362010,410955056,TSC 401K,10925.0
232290246,231945930,"THE VANGUARD GROUP, INC.",5673.0
453506561,420127290,PRINCIPAL LIFE INSURANCE COMPANY,119732.0
453506561,420127290,PRINCIPAL LIFE INSURANCE COMPANY,160566.0
742998462,350145825,AMERICAN UNITED LIFE INSURANCE CO,0.0
540499731,943112180,BLACKROCK INSTITUTIONAL TRUST CO.,0.0
540499731,941687665,"BANK OF AMERICA, N.A.",17233.0
540499731,591086117,"FIS BUSINESS SYSTEMS, LLC",24375.0
455586030,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,46188.0
455586030,431947695,CBIZ CPAS P.C.,21525.0
410754368,410746749,CLIFTONLARSON ALLEN,5093.0
455586030,821589061,OAKSTREET WEALTH MANAGEMENT,8233.0
860950184,824555287,CAPITAL GROUP RETIREMENT PLAN SVCS,310.0
471923111,421484983,"ADMIN. GROUP, LLC DBA TAG RESOURCES",3261.0
471923111,390989781,TRANSAMERICA LIFE INSURANCE CO,2208.0
752372684,134255527,"CALVETTI FERGUSON, LLC",14584.0
752372684,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,8661.0
351597954,133036745,"ADP, INC.",6729.0
472817157,521309931,"T. ROWE PRICE RPS, INC.",27860.0
472817157,951411037,AMERICAN FUNDS,0.0
472817157,954470812,DIMENSIONAL FUNDS,0.0
472817157,223703799,PRUDENTIAL JENNISON,0.0
472817157,42747644,MFS FUNDS,0.0
472817157,42647786,FIDELITY,0.0
472817157,132624428,JP MORGAN FUNDS,0.0
472817157,133731507,LORD ABBETT,0.0
472817157,46171663,BLACKROCK FUNDS,0.0
472817157,364488942,PUTNAM MUTUAL FUNDS,0.0
920114113,752355889,INSURANCE MANAGEMENT SERVICES,47742.0
920114113,850599589,"SGL PARTNERS, LLC",45780.0
920114113,43705970,TELADOC DIRECT,8643.0
920154693,742715820,JULY BUSINESS SERVICES,27212.0
750972825,752355889,INSURANCE MANAGEMENT SERVICES,560212.0
750972825,311368946,"AMERICAN HEALTH HOLDING, INC.",74095.0
750972825,273463867,PCM RX MANAGEMENT,20138.0
203160292,135674085,MERRILL LYNCH,7500.0
203160292,42647786,FIDELITY INVESTMENTS INSTITUTIONAL,1100.0
471097591,474474775,"GUIDELINE, LLC",15025.0
630961496,630103830,BLUE CROSS BLUE SHIELD OF ALABAMA,244851.0
363051915,346565596,ERNST AND YOUNG US LLP,33851.0
363051915,361561860,THE NORTHERN TRUST COMPANY,8008.0
363051915,346565596,ERNST AND YOUNG US LLP,33853.0
363051915,361561860,THE NORTHERN TRUST COMPANY,6007.0
320464445,133036745,"ADP, INC.",16262.0
831334174,231945930,"THE VANGUARD GROUP, INC.",2355.0
42726691,260058143,CAPTRUST FINANCIAL ADVISORS,25526.0
